                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.6985,                 1.7798,                 1.2962,                 1.6938,                0.90484,                    0.5,                  0.745,                0.47202,                0.90484,                    0.5,                  0.745,                0.56061,                 1.3187,                 1.1046,                 1.4821,                 0.9514,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.5671,                 1.4267,                0.95392,                 1.7287,                0.90484,                    0.5,                  0.745,                0.47202,                0.90484,                    0.5,                  0.745,                0.56061,                 1.3187,                 1.1046,                 1.4821,                 0.9514,               0.001736,               0.001736,               0.001736
                     83,                 1.8802,                 1.4694,                 1.2652,                  1.824,                0.90484,                    0.5,                  0.745,                0.47202,                0.90484,                    0.5,                  0.745,                0.56061,                 1.3187,                 1.1046,                 1.4821,                 0.9514,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.6737,                 1.6972,                 1.2591,                 1.8575,                0.96171,                    0.5,                0.82833,                0.54523,                0.96171,                    0.5,                0.82833,                0.62981,                 1.5242,                0.93757,                 1.4337,                 1.0819,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.6644,                 1.4725,                  1.029,                   1.82,                0.96171,                    0.5,                0.82833,                0.54523,                0.96171,                    0.5,                0.82833,                0.62981,                 1.5242,                0.93757,                 1.4337,                 1.0819,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.9642,                 1.8647,                 1.4488,                  1.785,                0.96171,                    0.5,                0.82833,                0.54523,                0.96171,                    0.5,                0.82833,                0.62981,                 1.5242,                0.93757,                 1.4337,                 1.0819,              0.0017228,              0.0017228,              0.0017228
                     87,                 1.7153,                 1.4174,                 1.2687,                 1.7811,                      1,                0.97059,                  0.995,                0.54958,                      1,                0.97059,                  0.995,                  0.796,                 1.5112,                0.94997,                 1.0276,                 1.1663,              0.0017195,              0.0017195,              0.0017195
                     88,                  1.863,                 1.7009,                 1.1061,                 1.7839,                      1,                0.97059,                  0.995,                0.54958,                      1,                0.97059,                  0.995,                  0.796,                 1.5112,                0.94997,                 1.0276,                 1.1663,              0.0017162,              0.0017162,              0.0017162
                     89,                 1.7509,                 1.6715,                 1.1663,                 1.7288,                      1,                0.98647,                  0.995,                0.50329,                      1,                0.98647,                  0.995,                0.72166,                 1.7079,                0.95646,                 1.0892,                 1.2344,              0.0017129,              0.0017129,              0.0017129
                     90,                 1.5756,                 1.4916,                  1.082,                 1.6917,                      1,                0.98647,                  0.995,                0.50329,                      1,                0.98647,                  0.995,                0.72166,                 1.7079,                0.95646,                 1.0892,                 1.2344,              0.0017096,              0.0017096,              0.0017096
                     91,                 1.8119,                 1.7186,                 1.3074,                 1.9335,                      1,                0.98647,                  0.995,                0.50329,                      1,                0.98647,                  0.995,                0.72166,                 1.7079,                0.95646,                 1.0892,                 1.2344,              0.0017063,              0.0017063,              0.0017063
                     92,                 1.6649,                 1.5998,                 1.2836,                  1.739,                      1,                0.97295,                  0.995,                0.56725,                      1,                0.97295,                  0.995,                0.76267,                 1.7205,                 1.0158,                 1.0369,                 1.0124,               0.001703,               0.001703,               0.001703
                     93,                 1.7134,                   1.46,                 1.2039,                 1.7275,                      1,                0.97295,                  0.995,                0.56725,                      1,                0.97295,                  0.995,                0.76267,                 1.7205,                 1.0158,                 1.0369,                 1.0124,              0.0016997,              0.0016997,              0.0016997
